magento->routers_match->CONTROLLER_ACTION:catalog_category_view->action_body->layout_package_update:2columns-left,0.018322,0.018322,1,"16,832",0
magento->LAYOUT,1.081540,1.081540,1,"12,976,704","12,582,912"
magento->LAYOUT->layout_render,1.081528,1.081528,1,"12,976,288","12,582,912"
magento->LAYOUT->layout_render->EVENT:view_block_abstract_to_html_before,0.000292,0.000006,47,"-13,024",0
magento->LAYOUT->layout_render->EVENT:view_block_abstract_to_html_after,0.000350,0.000007,47,"-13,040",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml,0.002090,0.002090,1,"22,992",0
magento->LAYOUT->layout_render->EVENT:core_layout_render_element,0.001936,0.000026,75,"52,456",0
magento->LAYOUT->layout_render->EVENT:core_layout_render_element->OBSERVER:pagecache,0.000925,0.000012,75,"8,184",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/base/templates/js/components.phtml,0.002053,0.002053,1,"15,096",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Infortis_Base/templates/html/header.phtml,0.057074,0.057074,1,"1,013,024",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Infortis_Base/templates/html/header.phtml->EVENT:view_block_abstract_to_html_before,0.000094,0.000006,15,"-3,840",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Infortis_Base/templates/html/header.phtml->EVENT:view_block_abstract_to_html_after,0.000120,0.000008,15,"-4,080",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Infortis_Base/templates/html/header.phtml->EVENT:core_layout_render_element,0.000567,0.000025,23,"15,704",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Infortis_Base/templates/html/header.phtml->EVENT:core_layout_render_element->OBSERVER:pagecache,0.000261,0.000011,23,"1,704",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Infortis_Base/templates/html/header.phtml->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Magento_Checkout/templates/cart/minicart.phtml,0.002089,0.002089,1,"136,240",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Infortis_Base/templates/html/header.phtml->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Infortis_Base/templates/html/header/logo.phtml,0.000495,0.000495,1,"11,840",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Infortis_Base/templates/html/header.phtml->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Magento_Search/templates/form.mini.phtml,0.000790,0.000790,1,"14,776",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Infortis_Base/templates/html/header.phtml->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Infortis_Base/templates/html/header/account_links.phtml,0.008593,0.008593,1,"247,544",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Infortis_Base/templates/html/header.phtml->TEMPLATE:/srv/public_html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml,0.037759,0.037759,1,"523,496",0
